"trade_id","symbol","action","quantity","cost_basis","date","description","created_at","modified_at","custodian"
82,"TSLA","BUY",1,560.01,"2020-12-02 14:06:00+00",,"2022-11-24 12:40:22.000234+00","2022-11-24 12:40:22.000234+00","ROBINHOOD"
83,"SAP","SELL",1,122.41,"2020-12-02 14:06:00+00",,"2022-11-24 12:40:22.007696+00","2022-11-24 12:40:22.007696+00","ROBINHOOD"
84,"NIO","BUY",1,40.15,"2020-12-02 14:08:00+00",,"2022-11-24 12:40:22.015205+00","2022-11-24 12:40:22.015205+00","ROBINHOOD"
85,"CRM","BUY",1,225.86,"2020-12-02 14:30:00+00",,"2022-11-24 12:40:22.020318+00","2022-11-24 12:40:22.020318+00","ROBINHOOD"
86,"GLD","SELL",3,175.45,"2020-12-08 22:15:00+00",,"2022-11-24 12:40:22.027742+00","2022-11-24 12:40:22.027742+00","ROBINHOOD"
87,"META","SELL",2,283.42,"2020-12-08 22:16:00+00",,"2022-11-24 12:40:22.037835+00","2022-11-24 12:40:22.037835+00","ROBINHOOD"
88,"NIO","SELL",1,46.6,"2020-12-08 22:17:00+00",,"2022-11-24 12:40:22.047441+00","2022-11-24 12:40:22.047441+00","ROBINHOOD"
89,"NVDA","SELL",0.28142,534.18,"2020-12-08 22:18:00+00",,"2022-11-24 12:40:22.057535+00","2022-11-24 12:40:22.057535+00","ROBINHOOD"
90,"SPG","SELL",2,90,"2020-12-08 22:18:00+00",,"2022-11-24 12:40:22.067334+00","2022-11-24 12:40:22.067334+00","ROBINHOOD"
91,"DDOG","SELL",1,99.86,"2020-12-08 22:19:00+00",,"2022-11-24 12:40:22.077803+00","2022-11-24 12:40:22.077803+00","ROBINHOOD"
92,"VYM","SELL",1,92,"2020-12-08 22:20:00+00",,"2022-11-24 12:40:22.11115+00","2022-11-24 12:40:22.11115+00","ROBINHOOD"
93,"SPYD","SELL",3,33.82,"2020-12-08 22:20:00+00",,"2022-11-24 12:40:22.121656+00","2022-11-24 12:40:22.121656+00","ROBINHOOD"
94,"GOOGL","SELL",0.1,1805.7,"2020-12-08 22:21:00+00",,"2022-11-24 12:40:22.131839+00","2022-11-24 12:40:22.131839+00","ROBINHOOD"
95,"AMZN","SELL",0.022373,3128.77,"2020-12-10 15:50:00+00",,"2022-11-24 12:40:22.141629+00","2022-11-24 12:40:22.141629+00","ROBINHOOD"
96,"CRM","SELL",0.902926,221.5,"2020-12-10 19:45:00+00",,"2022-11-24 12:40:22.151501+00","2022-11-24 12:40:22.151501+00","ROBINHOOD"
97,"ABNB","BUY",1,145.7,"2020-12-10 19:46:00+00",,"2022-11-24 12:40:22.182573+00","2022-11-24 12:40:22.182573+00","ROBINHOOD"
98,"CRM","SELL",0.225794,221.44,"2020-12-10 19:47:00+00",,"2022-11-24 12:40:22.191315+00","2022-11-24 12:40:22.191315+00","ROBINHOOD"
99,"ABNB","BUY",1,146.7,"2020-12-10 19:48:00+00",,"2022-11-24 12:40:22.20013+00","2022-11-24 12:40:22.20013+00","ROBINHOOD"
100,"GOOG","BUY",0.016982,1766.58,"2020-12-10 19:48:00+00",,"2022-11-24 12:40:22.205989+00","2022-11-24 12:40:22.205989+00","ROBINHOOD"
101,"TEAM","BUY",0.442859,225.81,"2020-12-10 19:52:00+00",,"2022-11-24 12:40:22.211152+00","2022-11-24 12:40:22.211152+00","ROBINHOOD"
102,"MSFT","SELL",0.474732,210.65,"2020-12-10 19:52:00+00",,"2022-11-24 12:40:22.219702+00","2022-11-24 12:40:22.219702+00","ROBINHOOD"
103,"ABNB","SELL",2,129.95,"2020-12-14 19:09:00+00",,"2022-11-24 12:40:22.229947+00","2022-11-24 12:40:22.229947+00","ROBINHOOD"
104,"TEAM","BUY",0.298087,234.83,"2020-12-15 14:30:00+00",,"2022-11-24 12:40:22.240937+00","2022-11-24 12:40:22.240937+00","ROBINHOOD"
105,"CRM","BUY",0.292695,222.07,"2020-12-15 14:30:00+00",,"2022-11-24 12:40:22.246403+00","2022-11-24 12:40:22.246403+00","ROBINHOOD"
106,"GOOG","BUY",0.073681,1764.36,"2020-12-15 14:30:00+00",,"2022-11-24 12:40:22.251413+00","2022-11-24 12:40:22.251413+00","ROBINHOOD"
107,"CRM","SELL",2.163975,222.91,"2021-01-04 14:30:00+00",,"2022-11-24 12:40:22.25895+00","2022-11-24 12:40:22.25895+00","ROBINHOOD"
108,"ETH","BUY",0.202218,989.3,"2021-01-05 05:59:00+00",,"2022-11-24 12:40:22.270867+00","2022-11-24 12:40:22.270868+00","ROBINHOOD"
109,"BTC","BUY",0.00654539,30538.31,"2021-01-05 06:00:00+00",,"2022-11-24 12:40:22.275655+00","2022-11-24 12:40:22.275655+00","ROBINHOOD"
110,"MSFT","SELL",0.918677,217.7,"2021-01-05 14:59:00+00",,"2022-11-24 12:40:22.284501+00","2022-11-24 12:40:22.284501+00","ROBINHOOD"
111,"CRM","BUY",0.913378,218.97,"2021-01-05 15:01:00+00",,"2022-11-24 12:40:22.29488+00","2022-11-24 12:40:22.29488+00","ROBINHOOD"
112,"SQ","BUY",0.369785,223.08,"2021-01-05 15:02:00+00",,"2022-11-24 12:40:22.300457+00","2022-11-24 12:40:22.300457+00","ROBINHOOD"
113,"SNAP","BUY",0.745642,53.6,"2021-01-14 15:29:00+00",,"2022-11-24 12:40:22.30532+00","2022-11-24 12:40:22.30532+00","ROBINHOOD"
114,"UAL","BUY",2.575628,46.59,"2021-01-14 15:29:00+00",,"2022-11-24 12:40:22.310411+00","2022-11-24 12:40:22.310411+00","ROBINHOOD"
115,"BTC","BUY",0.00050171,39870.57,"2021-01-14 15:29:00+00",,"2022-11-24 12:40:22.315658+00","2022-11-24 12:40:22.315659+00","ROBINHOOD"
116,"ABNB","BUY",0.166215,180.49,"2021-01-14 15:34:00+00",,"2022-11-24 12:40:22.320742+00","2022-11-24 12:40:22.320742+00","ROBINHOOD"
117,"SNAP","BUY",0.801603,49.9,"2021-01-14 17:46:00+00",,"2022-11-24 12:40:22.326472+00","2022-11-24 12:40:22.326472+00","ROBINHOOD"
118,"DOGE","BUY",51,0.00936,"2021-01-16 04:37:00+00",,"2022-11-24 12:40:22.332252+00","2022-11-24 12:40:22.332252+00","ROBINHOOD"
119,"UAL","SELL",2.575628,40.86,"2021-01-27 15:10:00+00",,"2022-11-24 12:40:22.340087+00","2022-11-24 12:40:22.340087+00","ROBINHOOD"
120,"GME","BUY",0.376688,278.75,"2021-01-27 15:10:00+00",,"2022-11-24 12:40:22.348338+00","2022-11-24 12:40:22.348338+00","ROBINHOOD"
121,"GOOG","SELL",0.053621,1864.94,"2021-01-27 15:31:00+00",,"2022-11-24 12:40:22.356229+00","2022-11-24 12:40:22.356229+00","ROBINHOOD"
122,"AMC","BUY",5.813967,17.2,"2021-01-27 15:35:00+00",,"2022-11-24 12:40:22.363829+00","2022-11-24 12:40:22.36383+00","ROBINHOOD"
123,"GME","SELL",0.298998,334.45,"2021-01-27 18:07:00+00",,"2022-11-24 12:40:22.371477+00","2022-11-24 12:40:22.371477+00","ROBINHOOD"
124,"SNAP","BUY",0.49417,50.59,"2021-01-27 18:08:00+00",,"2022-11-24 12:40:22.379376+00","2022-11-24 12:40:22.379376+00","ROBINHOOD"
125,"GOOG","BUY",0.01353,1847.75,"2021-01-27 18:08:00+00",,"2022-11-24 12:40:22.384522+00","2022-11-24 12:40:22.384522+00","ROBINHOOD"
126,"DASH","BUY",0.121356,206.01,"2021-01-27 18:09:00+00",,"2022-11-24 12:40:22.389881+00","2022-11-24 12:40:22.389881+00","ROBINHOOD"
127,"ABNB","BUY",0.122555,203.99,"2021-01-27 18:09:00+00",,"2022-11-24 12:40:22.395277+00","2022-11-24 12:40:22.395277+00","ROBINHOOD"
128,"GME","SELL",0.07769,317.67,"2021-01-27 22:46:00+00",,"2022-11-24 12:40:22.402936+00","2022-11-24 12:40:22.402936+00","ROBINHOOD"
129,"DOGE","SELL",10,0.025384,"2021-01-28 19:32:00+00",,"2022-11-24 12:40:22.413867+00","2022-11-24 12:40:22.413867+00","ROBINHOOD"
130,"BTC","BUY",0.00075877,32730.56,"2021-01-28 19:32:00+00",,"2022-11-24 12:40:22.420765+00","2022-11-24 12:40:22.420765+00","ROBINHOOD"
131,"DOGE","BUY",13,0.025181,"2021-01-28 19:33:00+00",,"2022-11-24 12:40:22.425506+00","2022-11-24 12:40:22.425506+00","ROBINHOOD"
132,"AMZN","SELL",0.015508,3224.14,"2021-01-29 14:30:00+00",,"2022-11-24 12:40:22.433319+00","2022-11-24 12:40:22.433319+00","ROBINHOOD"
133,"DOGE","BUY",831,0.06006,"2021-01-29 15:12:00+00",,"2022-11-24 12:40:22.44161+00","2022-11-24 12:40:22.44161+00","ROBINHOOD"
134,"AMC","SELL",2.789465,7.17,"2021-02-05 14:30:00+00",,"2022-11-24 12:40:22.449299+00","2022-11-24 12:40:22.449299+00","ROBINHOOD"
135,"AMC","SELL",3.024502,7.01,"2021-02-05 16:41:00+00",,"2022-11-24 12:40:22.459578+00","2022-11-24 12:40:22.459578+00","ROBINHOOD"
136,"CRM","SELL",0.842229,237.47,"2021-02-05 16:43:00+00",,"2022-11-24 12:40:22.469654+00","2022-11-24 12:40:22.469655+00","ROBINHOOD"
137,"ABNB","BUY",0.212006,193.39,"2021-02-05 16:43:00+00",,"2022-11-24 12:40:22.477313+00","2022-11-24 12:40:22.477313+00","ROBINHOOD"
138,"DASH","SELL",0.121356,184.83,"2021-02-05 16:44:00+00",,"2022-11-24 12:40:22.485891+00","2022-11-24 12:40:22.485891+00","ROBINHOOD"
139,"MSFT","SELL",0.606591,241.2,"2021-02-05 16:45:00+00",,"2022-11-24 12:40:22.495746+00","2022-11-24 12:40:22.495746+00","ROBINHOOD"
140,"ABNB","BUY",0.5,193.5,"2021-02-05 16:46:00+00",,"2022-11-24 12:40:22.504929+00","2022-11-24 12:40:22.504929+00","ROBINHOOD"
141,"SQ","BUY",0.64,238.34,"2021-02-05 16:47:00+00",,"2022-11-24 12:40:22.510739+00","2022-11-24 12:40:22.510739+00","ROBINHOOD"
142,"TEAM","BUY",0.25,241.92,"2021-02-05 16:48:00+00",,"2022-11-24 12:40:22.51588+00","2022-11-24 12:40:22.51588+00","ROBINHOOD"
143,"CRM","SELL",0.071149,237.67,"2021-02-05 16:48:00+00",,"2022-11-24 12:40:22.52488+00","2022-11-24 12:40:22.52488+00","ROBINHOOD"
144,"ETH","BUY",0.028852,1732.78,"2021-02-05 16:49:00+00",,"2022-11-24 12:40:22.532734+00","2022-11-24 12:40:22.532734+00","ROBINHOOD"
145,"BTC","BUY",0.00065863,37951.13,"2021-02-05 16:50:00+00",,"2022-11-24 12:40:22.537546+00","2022-11-24 12:40:22.537546+00","ROBINHOOD"
146,"AMZN","SELL",0.062119,3327.65,"2021-02-05 16:51:00+00",,"2022-11-24 12:40:22.544048+00","2022-11-24 12:40:22.544048+00","ROBINHOOD"
147,"BTC","BUY",0.00065966,37897.62,"2021-02-05 16:51:00+00",,"2022-11-24 12:40:22.550572+00","2022-11-24 12:40:22.550572+00","ROBINHOOD"
148,"AAPL","BUY",0.731876,136.64,"2021-02-05 16:56:00+00",,"2022-11-24 12:40:22.554385+00","2022-11-24 12:40:22.554385+00","ROBINHOOD"
149,"DOGE","SELL",885,0.057074,"2021-02-07 04:14:00+00",,"2022-11-24 12:40:22.559336+00","2022-11-24 12:40:22.559336+00","ROBINHOOD"
150,"SPY","BUY",1.285175,389.05,"2021-02-08 19:35:00+00",,"2022-11-24 12:40:22.571276+00","2022-11-24 12:40:22.571276+00","ROBINHOOD"
151,"ABNB","BUY",1,200.71,"2021-02-08 19:55:00+00",,"2022-11-24 12:40:22.576325+00","2022-11-24 12:40:22.576325+00","ROBINHOOD"
152,"UAL","BUY",2.272727,44,"2021-02-09 14:30:00+00",,"2022-11-24 12:40:22.580736+00","2022-11-24 12:40:22.580736+00","ROBINHOOD"
153,"SPY","SELL",0.768619,390.31,"2021-02-09 18:45:00+00",,"2022-11-24 12:40:22.587332+00","2022-11-24 12:40:22.587332+00","ROBINHOOD"
154,"TSLA","BUY",0.122943,813.39,"2021-02-10 16:49:00+00",,"2022-11-24 12:40:22.592289+00","2022-11-24 12:40:22.592289+00","ROBINHOOD"
155,"ETH","BUY",0.057468,1739.86,"2021-02-10 18:04:00+00",,"2022-11-24 12:40:22.595886+00","2022-11-24 12:40:22.595886+00","ROBINHOOD"
156,"BTC","BUY",0.00221651,45116.46,"2021-02-10 18:04:00+00",,"2022-11-24 12:40:22.59959+00","2022-11-24 12:40:22.59959+00","ROBINHOOD"
157,"AAPL","BUY",0.369631,135.27,"2021-02-10 22:11:00+00",,"2022-11-24 12:40:22.602407+00","2022-11-24 12:40:22.602407+00","ROBINHOOD"
158,"AAPL","BUY",0.012213,134.28,"2021-02-12 14:30:00+00",,"2022-11-24 12:40:22.605817+00","2022-11-24 12:40:22.605817+00","ROBINHOOD"
159,"ETH","BUY",0.017253,1739.52,"2021-02-15 02:55:00+00",,"2022-11-24 12:40:22.609103+00","2022-11-24 12:40:22.609103+00","ROBINHOOD"
160,"SPY","SELL",0.516556,392.1,"2021-02-19 14:30:00+00",,"2022-11-24 12:40:22.613896+00","2022-11-24 12:40:22.613896+00","ROBINHOOD"
